Name,Artist,Spotify URI
Anatani Aitakute 2004,Seiko Matsuda,
Stay Gold,Hikaru Utada,
Ain't No Need of Crying,The Rance Allen Group,
Popular,The Weeknd & Madonna,
Good Love,Jin Dogg,
grace,Fujii Kaze,
Overloading,"Mavins, Crayon & Ayra Starr",
Can't Let You Go,Stefflon Don,
All Mine,DJ Taj & Brent Faiyaz,
Fly,OVER KILL,
Suki Suki,DJ BULLSET,
N 2 Deep,Drake,
Bling,Blaqbonez,
Whatever She Wants,Bryson Tiller,
Down With Me,Lil Tecca,
Lay Up,Future,
Do 2 Me,KAYTRANADA,
#RICHAXXHAITIAN,Mach-Hommy & KAYTRANADA,
Be Your Girl,Teedra Moses & KAYTRANADA,
Silent Hill,Kendrick Lamar & Kodak Black,
Rich Spirit,Kendrick Lamar,
JoHn Muir,ScHoolboy Q,
Deja Vu,J. Cole,
Made You Look,Nas,
Off Dat Drank,Rob49,
Glory Glory,Little Brother,
Mutty,Conway the Machine & Stove God Cooks,
Trae The Truth in Ibiza,J. Cole,
Tried Our Best,Drake,
B.Y.S.,keshi,
Nosetalgia,Pusha T,
RYU,FBG Goat & Young Thug,
I'll Make Love to You,Boyz II Men,
WAIT FOR U,Future,
YABA,Fujii Kaze,
O2,Oxlade,
TSU,Drake,
All Alone,B-Lovee,
Lion,May'n & Megumi Nakajima,
Do What You Gotta Do,Roberta Flack,
Rendezvous,KAHOH & Yo-Sea,
Bussin,Doe Boy & Southside,
The First Snowfall,ShowyVICTOR,
Touch Down,98jams,
Chance,eyden,
Focus,H.E.R.,
Two Occasions,The Deele,
come again,m-flo,
Sabor a Mí,Luis Miguel,
Let's Stay Together,Al Green,
2Ninjas,eyden,
Stay wiz me,ShowyRENZO,
Change Up,5lack,
Letters,Hikaru Utada,
bye,Ariana Grande,
Fuck You,RYKEYDADDYDIRTY,
They Don't Know,Jon B.,
Just Like You Used To,Jalen Ngonda,
Made For Me,Muni Long & BNYX®,
Deeper,Kiana Ledé,
2021 Vibes,LUCKI,
Say What You Will,James Blake,
act bad twin!,Chow Lee,
Bécane - A Colors Show,Yamê,
"To Summer, From Cole",Summer Walker & J. Cole,
Amado Mio,"Jose ""Papo"" Rivera",
Anata Ni Aete Yokatta,koizumi kyoko,
Kimigasuki,Mr.Children,
Words of Love,Original Love,
Like Wind,NORIKIYO & Dengaryu,
Nemurasete,TonyGumbo,
Lotus Flower Bomb,Wale,
Yes-No,Off Course,
Poison,Aaliyah,
MAD,YG & Mozzy,
Steps,7SEEDS & Green Assassin Dollar,
Fuck Love,Jin Dogg,
Creepin',Stevie Wonder,
Tokyomatic,KIKUMARU,
Regency,KANDYTOWN,
Sabor a Mí,Alvaro Carrillo,
When It Comes To You,Fridayy,
Re:Verse,Ken the 390,
Stories About My Brother,Drake,
Endlessly,Omar Apollo,
Body Count,Mozzy,
Accordion,Madvillain,
H e r O l d F r i e n d s,PARTYNEXTDOOR,
Shibuya,rkemishi,
Taki,OG.F & Zot On the Wave,
Michi Teyu Ku,Fujii Kaze,
Mumu,DJ Neptune & Joeboy,
Presha,2 Chainz & Lil Wayne,
Ditto,NewJeans,
Buried Alive Interlude,Drake,
Eki,Mariya Takeuchi,
am 2:00,Jin Dogg,
Turn Your Lights Down Low,Bob Marley & The Wailers,
act v: there goes another vase,4batz,
Lava Lamp,Thundercat,
Jillian,LEX,
B.B.P.,ParisPlayedYou,
Type Shit,Migos & Cardi B,
Stealth Mode,J. Cole & Bas,
Smoke A N***a,Juicy J,
Lonely At The Top,Asake & H.E.R.,
