Name,Artist,Spotify URI
RYU,FBG Goat & Young Thug,
Lion,May'n & Megumi Nakajima,
The First Snowfall,ShowyVICTOR,
Like Wind,NORIKIYO & Dengaryu,
Nemurasete,TonyGumbo,
Taki,OG.F & Zot On the Wave,
Jillian,LEX,
Osmanthus,Aina The End,
Waratte-Ikiru,EASTA & NAOtheLAIZA,
Pledge,Namedaruma,
Kotodama,ASHURAMIC,
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign & Rich The Kid",
Team Tomodachi,"Yuki Chiba, SOCKS, ¥ellow Bucks, MaRI & DJ RYOW",
Bainin,Dutch Montana,
Erokuteiionna,"Leon Fanourakis, SANTAWORLDVIEW & Xansei",
Migisyasen,"KOWICHI, Zot On the Wave & SELF MADE",
Pen and Note,Watson,
Mati Kara Mati,唾奇 × Sweet William,
F****n' Sound,Lucky Daye,
Noudouteki Sanpunkan - 3 Min.,Tokyo Incidents,
The Light,MihTy,
Koubou,ONE OK ROCK,
Adult Suit,ONE OK ROCK,
Hightension,Shallipopi,
Jetski,ChaoChao,
Furyo Gaikokujin,MaRI,
"Requiem in D Minor, K. 626: IIIf. Sequenz. Lacrimosa","Patrizia Pace, Waltraud Meier, Gustaf Sjokvist, Swedish Radio Choir, Stockholm Chamber Choir, Berlin Philharmonic, Riccardo Muti, Eric Ericson & Frank Lopardo",
Atamatoheitai,rkemishi,
Rainy Dogenzaka,Jin Dogg & THE UNCLE,
Tension wo ageteyo,LEX,
act iv: fckin u again,4batz & USHER,
PROMOTION,"¥$, Kanye West & Ty Dolla $ign",
BOMB,"¥$, Kanye West & Ty Dolla $ign",
530,"¥$, Kanye West & Ty Dolla $ign",
DEAD,"¥$, Kanye West & Ty Dolla $ign",
Beautiful Ones,The London Suede,
Yarunaraimasikanee,MonyHorse,
毒立毒歩 [MSW MIX] DEV LARGE,KAN a.k.a. GAMI,
音信不通,MSC,
You Spin Me Right Round,Dead or Alive,
2Milli,Soulja Boy Tell 'Em,
Make Tha Trap Say Aye,OJ da Juiceman,
Bad,Lil Scrappy & Stuey Rock,
HyperNova,m-flo loves Maya,
Gakko Ni Ikitakunai,Shinsei kamattechan,
Garden,sugar soul feat. Kenji,
offering sake,椎名林檎と中嶋イッキュウ,
You,Lloyd featuring Lil Wayne,
Shousou,rkemishi,
Seinaru Christmas,Masanori Otoda,
Dang Dang Kininaru,NAKAMURA YUMA,
Sotsugyou,Momoko Kikuchi,
If I Have to Go Away,Jigsaw,
Tooriwa Mada,OZAKARENGE KEISUKE,
Constant B******t,Summer Walker,
